Subject,IQ79,Ethnicity,Gender,Employment79,FamilySize79,AFQT '80,AFQT '89,AFQT '06,Income84,FamilySize86,FamilySize90,Employment90,Income94,FamilySize96,FamilySize00,Income04,Income06,FamilySize06,Employment06,Income10,Income12,FamilySize12
2674,,1,1,1,7,,,,5000,4,5,1,-5.0,-5,3,23000.0,23000.0,3,1,22000.0,23500.0,3
2675,,1,2,3,7,8.0,9.0,16569.0,-2,4,4,1,-3.0,8,6,7000.0,17000.0,3,1,16000.0,16000.0,4
2676,,1,1,1,4,6.0,4.0,2640.0,22000,-5,5,1,25000.0,-5,4,18000.0,27000.0,5,1,56000.0,50000.0,4
2677,,1,2,5,3,28.0,31.0,30421.0,400,10,6,7,1620.0,6,-5,2880.0,22000.0,3,1,11934.0,0.0,9
2678,,1,2,1,3,73.0,63.0,62384.0,245,3,3,2,15000.0,2,2,18000.0,-2.0,2,1,27000.0,40000.0,2
2679,96.0,1,2,5,5,48.0,44.0,50680.0,4000,5,7,7,-3.0,10,10,9800.0,3890.0,5,1,19000.0,20000.0,7
2680,,3,2,5,3,79.0,75.0,81414.0,2535,1,2,7,30000.0,3,4,40500.0,50000.0,4,1,49500.0,56000.0,4
2681,,1,2,1,15,3.0,5.0,5686.0,2000,15,2,3,-3.0,4,6,-2.0,0.0,6,1,0.0,0.0,5
2682,,1,1,1,15,7.0,3.0,5464.0,7880,2,3,1,8800.0,4,4,31000.0,12000.0,4,1,16000.0,0.0,5
2683,,1,2,1,15,5.0,5.0,1949.0,2400,15,5,1,4500.0,5,5,400.0,30000.0,7,1,6900.0,0.0,3
2684,,3,1,5,3,86.0,84.0,78514.0,10000,3,3,4,9000.0,3,3,36000.0,40000.0,2,1,45000.0,43500.0,3
2685,,3,1,1,5,96.0,93.0,87232.0,36574,1,1,1,46000.0,3,3,55000.0,58000.0,3,1,65000.0,68000.0,2
2686,,3,1,5,5,92.0,91.0,96006.0,15600,2,2,1,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2687,,1,1,5,4,35.0,33.0,34539.0,3000,3,-5,-5,3000.0,3,4,-5.0,0.0,4,1,0.0,-5.0,-5
2688,,1,1,5,4,67.0,78.0,74478.0,3000,1,1,1,6800.0,3,4,28000.0,32000.0,1,1,45000.0,-5.0,-5
2689,,3,2,1,4,42.0,31.0,38206.0,12500,2,3,1,22000.0,4,4,30000.0,30000.0,4,1,33000.0,40000.0,3
2690,,1,2,3,5,29.0,26.0,34223.0,4000,6,4,1,15000.0,5,4,20000.0,28000.0,3,1,23000.0,29000.0,3
2691,,1,2,3,3,16.0,13.0,25784.0,-3,2,5,4,9000.0,5,5,12500.0,23000.0,5,1,21000.0,42000.0,2
2692,,1,2,5,5,13.0,13.0,13303.0,25,4,4,1,8000.0,4,4,13500.0,15000.0,5,1,17000.0,17000.0,4
2693,,1,1,1,5,15.0,8.0,11426.0,6000,1,2,1,-3.0,3,3,14700.0,0.0,3,1,15000.0,0.0,3
2694,,1,1,5,6,66.0,59.0,57714.0,4508,1,1,1,18000.0,1,1,24000.0,25000.0,1,1,20000.0,30000.0,1
2695,,1,2,5,7,52.0,58.0,63262.0,-3,1,5,1,40000.0,3,3,30000.0,80000.0,3,1,-2.0,60000.0,3
2696,,1,1,5,7,35.0,32.0,47892.0,2300,2,4,1,26000.0,6,-5,47000.0,46000.0,6,1,70000.0,72000.0,4
2697,,1,1,5,8,47.0,37.0,50180.0,7500,1,3,6,35000.0,4,2,-5.0,-5.0,-5,-5,42000.0,-5.0,-5
2698,,1,2,3,7,1.0,3.0,2090.0,-3,3,3,1,-2.0,3,1,10440.0,6000.0,1,1,-2.0,16640.0,1
2699,,1,2,5,7,7.0,7.0,7961.0,1957,3,3,1,-3.0,3,4,0.0,8000.0,3,1,12000.0,9400.0,2
2700,,1,2,5,7,2.0,2.0,2758.0,-3,2,3,4,10000.0,4,4,-2.0,-2.0,4,7,14000.0,-5.0,-5
2701,,1,2,1,5,28.0,29.0,25652.0,2317,2,1,1,41500.0,2,2,79000.0,88000.0,3,1,105000.0,111000.0,3
2702,,1,1,1,1,77.0,81.0,73187.0,36574,4,4,1,51000.0,4,4,109000.0,91500.0,4,1,108000.0,115000.0,2
2703,,1,1,3,5,49.0,57.0,56056.0,-5,-5,1,1,50000.0,1,3,95000.0,125000.0,3,1,-5.0,110000.0,2
2704,,1,2,5,5,40.0,39.0,43536.0,4000,2,3,1,-5.0,-5,3,-5.0,-5.0,-5,-5,-2.0,-5.0,-5
2705,,1,2,4,2,7.0,2.0,1930.0,1845,4,4,2,6000.0,4,5,13000.0,14000.0,3,1,24000.0,34000.0,3
2706,,1,2,5,6,10.0,16.0,22776.0,-3,5,8,1,6900.0,6,3,24000.0,36500.0,3,1,20000.0,23000.0,4
2707,,1,1,5,6,6.0,8.0,12320.0,5574,8,4,1,13000.0,3,3,22000.0,24000.0,4,1,22972.0,24000.0,4
2708,,1,1,5,9,14.0,14.0,13404.0,7000,4,4,1,18000.0,10,5,28000.0,25000.0,1,1,25000.0,26000.0,4
2709,,1,2,5,9,24.0,27.0,34134.0,3409,2,2,4,60.0,2,2,14400.0,16257.0,2,1,17995.0,18300.0,2
2710,,1,2,5,9,7.0,7.0,6748.0,1500,3,3,1,12100.0,4,3,20000.0,26000.0,3,1,29000.0,27000.0,2
2711,,3,1,1,3,50.0,34.0,31136.0,13000,4,4,1,30000.0,3,2,28611.0,30620.0,2,1,30680.0,-5.0,-5
2712,,2,2,5,5,23.0,21.0,18852.0,13000,1,4,1,28000.0,4,-5,20000.0,0.0,4,7,0.0,-5.0,-5
2713,,2,1,5,6,13.0,13.0,17630.0,1800,6,1,1,16000.0,2,2,43000.0,39000.0,3,1,30000.0,30000.0,2
2714,,3,1,1,3,89.0,92.0,90519.0,3500,2,1,1,27000.0,1,2,50000.0,45000.0,3,1,30000.0,40000.0,3
2715,,3,1,5,2,85.0,86.0,95099.0,3000,2,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2716,,2,1,1,3,10.0,8.0,10747.0,1984,3,3,2,500.0,4,3,24000.0,35000.0,1,1,30000.0,31000.0,2
2717,,2,1,1,6,9.0,9.0,10936.0,13000,5,5,1,35000.0,5,5,58000.0,45000.0,1,1,0.0,35000.0,1
2718,,2,1,3,6,16.0,16.0,14082.0,36574,1,1,1,47000.0,1,1,70000.0,54000.0,1,1,40000.0,-5.0,-5
2719,,2,2,4,6,6.0,6.0,8366.0,-3,3,3,1,6000.0,3,4,17000.0,6000.0,7,6,0.0,0.0,2
2720,,2,2,5,6,1.0,3.0,1872.0,-3,2,7,1,-3.0,4,2,0.0,0.0,3,7,0.0,0.0,4
2721,,3,1,3,1,2.0,2.0,3167.0,10500,4,5,1,16000.0,1,1,0.0,30000.0,2,1,43000.0,43000.0,2
2722,,3,2,5,4,21.0,19.0,17373.0,4200,3,3,6,18000.0,3,2,60000.0,35000.0,2,1,36000.0,50000.0,2
2723,,3,2,1,3,26.0,32.0,34081.0,9800,1,1,1,27000.0,4,4,68200.0,62000.0,4,1,92520.0,96761.0,2
2724,,3,1,5,4,87.0,77.0,79723.0,6500,1,2,1,61000.0,4,5,265933.0,279816.0,5,1,312324.0,343830.0,5
2725,,3,1,5,3,80.0,90.0,92116.0,500,1,3,1,29000.0,2,1,9199.0,26000.0,1,1,41000.0,41000.0,3
2726,,3,1,1,3,53.0,45.0,48378.0,-1,3,3,1,-1.0,4,4,-1.0,-1.0,3,1,-1.0,-1.0,3
2727,,3,2,5,4,56.0,56.0,67905.0,6000,2,2,1,23000.0,2,3,-5.0,30500.0,3,1,-5.0,-5.0,-5
2728,,3,1,1,2,46.0,53.0,59815.0,36574,3,4,1,31000.0,4,5,55000.0,50000.0,4,1,60000.0,65000.0,3
2729,,3,2,3,3,59.0,53.0,52886.0,4400,4,3,4,8000.0,2,2,11000.0,7000.0,3,6,12000.0,11000.0,2
2730,,3,2,3,2,14.0,22.0,19730.0,6000,2,2,1,32000.0,2,2,35000.0,10000.0,1,1,22000.0,0.0,1
2731,,3,2,5,3,38.0,48.0,56612.0,2000,3,3,1,14000.0,4,4,15000.0,17000.0,4,1,1000.0,3000.0,3
2732,,3,1,3,4,32.0,42.0,55890.0,-3,4,1,1,20000.0,1,1,33000.0,33955.0,1,1,40000.0,42000.0,1
2733,,2,1,1,6,9.0,9.0,3877.0,9200,3,4,1,19000.0,1,3,35000.0,28000.0,3,1,28000.0,24000.0,1
2734,,2,1,1,6,28.0,25.0,18418.0,-3,4,6,2,17000.0,5,4,15000.0,17000.0,3,1,25000.0,25000.0,3
2735,,2,2,1,5,14.0,13.0,13939.0,11300,3,6,1,14000.0,3,2,26000.0,29000.0,2,1,29000.0,31000.0,2
2736,,3,2,5,3,58.0,53.0,62998.0,6100,3,2,1,18300.0,2,4,30695.0,27000.0,1,1,26000.0,32000.0,1
2737,,3,2,5,4,74.0,76.0,76513.0,-3,4,5,1,32000.0,5,5,52000.0,64000.0,4,1,100000.0,55000.0,2
2738,,3,2,1,6,53.0,58.0,46571.0,13500,1,1,1,19188.0,2,2,25000.0,25000.0,2,1,30000.0,34000.0,2
2739,,3,2,3,5,87.0,79.0,82385.0,250,2,2,1,36000.0,4,4,50000.0,51000.0,4,1,59500.0,58000.0,4
2740,,3,2,5,6,42.0,47.0,67494.0,800,1,2,1,31000.0,3,4,43000.0,45500.0,4,1,50000.0,51000.0,2
2741,,3,1,1,3,63.0,59.0,50562.0,11000,3,4,1,20000.0,4,3,-5.0,-5.0,-5,-5,24000.0,32000.0,3
2742,,3,2,1,3,83.0,63.0,66725.0,9000,3,4,1,19000.0,4,3,-5.0,-5.0,-5,-5,25000.0,48000.0,3
2743,,2,2,1,3,20.0,22.0,19217.0,600,3,2,4,-3.0,4,3,-2.0,-2.0,4,1,7800.0,0.0,7
2744,,3,2,5,4,32.0,43.0,37729.0,-3,2,3,4,3600.0,4,3,12000.0,4000.0,2,1,4000.0,4000.0,2
2745,,3,1,1,4,72.0,63.0,52010.0,15000,1,2,1,18000.0,5,5,33000.0,28000.0,5,1,26000.0,36000.0,5
2746,,3,2,1,3,32.0,30.0,31161.0,8000,4,4,1,22000.0,3,3,30000.0,30000.0,2,1,30000.0,35000.0,2
2747,,3,1,1,4,11.0,15.0,13768.0,7000,2,3,1,7200.0,2,2,15000.0,9984.0,2,1,29200.0,25000.0,2
2748,,3,2,1,2,4.0,8.0,8081.0,8500,4,4,1,18000.0,4,4,38000.0,25000.0,3,7,0.0,4940.0,3
2749,,3,1,1,4,36.0,39.0,30562.0,5000,-5,-5,-5,-1.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,6000.0,1
2750,,2,1,1,5,23.0,17.0,18880.0,6000,5,4,1,31600.0,5,3,17000.0,0.0,1,1,44000.0,45000.0,1
2751,,2,1,1,5,32.0,25.0,17588.0,13000,3,4,1,30000.0,4,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2752,,3,2,1,4,,,,9712,5,5,1,-2.0,4,4,25500.0,25000.0,2,1,29000.0,20000.0,2
2753,,3,2,3,2,32.0,32.0,27325.0,2000,5,5,1,22000.0,3,3,16800.0,-2.0,3,1,21000.0,17000.0,4
2754,,3,1,5,1,32.0,41.0,52618.0,3500,1,1,3,35000.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2755,,3,1,5,5,53.0,59.0,73536.0,36574,3,4,1,28000.0,4,4,0.0,0.0,2,1,45000.0,20000.0,2
2756,,2,2,4,6,75.0,71.0,75140.0,1500,1,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2757,,3,2,3,3,8.0,8.0,4216.0,-3,4,2,4,-3.0,4,4,0.0,-5.0,-5,-5,-5.0,-5.0,-5
2758,,3,2,5,4,8.0,8.0,8653.0,-3,3,-5,-5,-3.0,3,2,-5.0,-5.0,-5,-5,15000.0,6000.0,2
2759,,3,1,3,3,-3.0,-3.0,643.0,7401,3,3,1,25000.0,4,4,43000.0,45000.0,3,1,54000.0,48000.0,2
2760,,3,1,1,5,30.0,36.0,51839.0,400,5,3,1,17000.0,3,4,26000.0,26000.0,4,1,40000.0,45000.0,3
2761,,2,1,1,8,8.0,9.0,16131.0,-3,3,5,4,-3.0,5,1,0.0,0.0,1,6,0.0,0.0,1
2762,,2,1,1,8,6.0,9.0,16944.0,4600,2,4,1,10000.0,4,4,0.0,0.0,4,6,0.0,0.0,4
2763,,2,1,1,2,6.0,8.0,10405.0,-5,-5,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2764,,2,1,1,2,3.0,10.0,12958.0,1500,2,1,1,-2.0,4,3,21000.0,-2.0,1,1,-2.0,-5.0,-5
2765,,3,1,5,5,45.0,40.0,46116.0,1200,3,2,1,37000.0,3,4,68000.0,72000.0,4,1,85000.0,100000.0,4
2766,,3,1,5,5,73.0,66.0,71977.0,12000,5,3,1,21000.0,4,1,0.0,0.0,3,7,20000.0,40000.0,1
2767,,3,1,5,5,8.0,8.0,8889.0,9100,5,4,1,18000.0,3,4,31000.0,33000.0,4,1,45000.0,49500.0,4
2768,,2,1,1,6,10.0,11.0,14687.0,3528,5,5,1,62000.0,6,5,-5.0,76000.0,5,1,69000.0,78000.0,5
2769,,2,2,7,2,2.0,4.0,7241.0,-3,4,4,3,-3.0,4,3,12000.0,-2.0,4,1,13296.0,-2.0,3
2770,,2,2,1,12,49.0,59.0,62129.0,10000,3,3,1,38000.0,5,5,52000.0,57000.0,5,1,59000.0,62000.0,3
2771,,2,2,3,12,32.0,29.0,30365.0,1900,8,5,4,-3.0,6,6,0.0,10000.0,5,1,20000.0,23000.0,5
2772,,2,1,3,10,16.0,13.0,16598.0,2000,3,5,1,28000.0,5,5,21000.0,21000.0,4,1,17000.0,27000.0,3
2773,,2,1,1,3,27.0,33.0,31630.0,3666,4,2,1,16000.0,2,3,30000.0,34000.0,3,1,12000.0,20000.0,3
2774,,3,1,1,8,87.0,85.0,68644.0,7500,3,4,1,27615.0,4,4,60000.0,60000.0,2,1,50000.0,45000.0,2
2775,,3,2,8,8,78.0,71.0,76999.0,-3,2,4,1,16000.0,5,5,26000.0,19500.0,4,1,30000.0,10000.0,3
2776,,3,1,3,8,65.0,80.0,84667.0,9000,1,2,1,32000.0,2,2,0.0,0.0,2,1,0.0,0.0,2
2777,,3,1,3,3,14.0,14.0,16675.0,1700,2,1,1,50000.0,2,4,8100.0,58000.0,1,1,16794.0,0.0,1
2778,,3,2,4,3,5.0,6.0,6881.0,96,2,2,3,-3.0,5,3,0.0,0.0,4,1,15000.0,4000.0,3
2779,,3,1,1,5,15.0,12.0,17442.0,7000,4,4,1,39500.0,4,4,40000.0,-5.0,-5,-5,40000.0,57000.0,2
2780,,3,1,1,5,2.0,3.0,10370.0,914,5,2,1,15000.0,3,4,26000.0,32000.0,4,1,30000.0,40000.0,4
2781,,3,2,4,2,63.0,54.0,56208.0,-3,5,5,4,1800.0,5,5,16000.0,18000.0,2,1,19000.0,0.0,2
2782,,3,1,1,5,-3.0,-3.0,116.0,10000,3,3,1,22000.0,3,2,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2783,,3,1,5,2,35.0,43.0,47692.0,20000,3,3,1,30000.0,4,4,0.0,-2.0,3,1,40000.0,-5.0,-5
2784,,2,2,5,3,9.0,12.0,15110.0,5628,5,4,1,8300.0,4,2,0.0,0.0,2,6,0.0,0.0,1
2785,,3,2,1,2,42.0,35.0,37739.0,3700,3,3,4,2000.0,3,2,10000.0,20000.0,2,1,6000.0,-5.0,-5
2786,,3,1,1,5,1.0,1.0,711.0,5000,4,6,6,20000.0,1,2,80000.0,-5.0,-5,-5,-5.0,-5.0,-5
2787,,3,1,5,5,70.0,74.0,82075.0,-3,2,2,1,18700.0,2,2,24000.0,-5.0,-5,-5,-5.0,-5.0,-5
2788,,3,2,5,5,12.0,9.0,7228.0,-3,-5,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2789,,2,2,7,7,31.0,25.0,20296.0,11500,4,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2790,,2,2,5,7,,,,-3,3,3,4,1141.0,3,3,-5.0,-5.0,-5,-5,-5.0,17000.0,2
2791,,2,1,1,7,15.0,16.0,23558.0,13000,5,3,1,-2.0,-5,3,0.0,-5.0,-5,-5,-5.0,0.0,3
2792,,2,2,6,7,5.0,2.0,4728.0,-3,5,4,1,11000.0,4,3,0.0,0.0,2,6,0.0,0.0,4
2793,,2,1,1,7,3.0,5.0,8780.0,8320,1,5,1,-2.0,1,1,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2794,,2,1,1,7,4.0,5.0,5211.0,1645,4,1,1,12000.0,6,4,25000.0,20000.0,2,1,32000.0,-5.0,-5
2795,,2,2,3,10,3.0,1.0,4002.0,2159,6,5,3,6000.0,6,2,26000.0,0.0,1,7,0.0,0.0,1
2796,,2,2,7,10,8.0,8.0,8310.0,32,6,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2797,,2,1,7,9,3.0,5.0,4598.0,4000,4,2,1,30000.0,3,3,60000.0,50000.0,2,1,35000.0,25000.0,3
2798,,2,1,1,8,1.0,4.0,9809.0,7000,6,3,1,-1.0,2,2,3000.0,-2.0,2,1,0.0,0.0,1
2799,,2,1,3,8,3.0,6.0,4999.0,660,4,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2800,,3,1,3,4,89.0,98.0,98512.0,7000,1,2,2,40797.0,1,1,4000.0,35000.0,1,1,-5.0,-5.0,-5
2801,,3,1,1,5,83.0,84.0,90597.0,10000,2,2,1,30000.0,2,2,46000.0,47000.0,2,1,56000.0,55000.0,1
2802,,3,1,1,5,56.0,55.0,65610.0,5000,2,2,1,47000.0,4,4,58000.0,65000.0,4,1,65000.0,70000.0,3
2803,,2,1,1,5,23.0,20.0,18985.0,13000,4,3,1,30000.0,4,5,52000.0,58000.0,5,1,70000.0,65000.0,5
2804,,2,2,5,5,26.0,23.0,32049.0,940,2,2,1,42500.0,4,4,89000.0,52000.0,4,1,70000.0,69000.0,4
2805,,2,1,3,8,13.0,13.0,14953.0,1600,2,4,2,30000.0,4,4,-5.0,-1.0,4,1,-1.0,-1.0,4
