"R0000100","R0214700","R0214800","R0618200","R0618300","R0618301"
619,3,2,48,50,47764
620,2,1,2,3,742
621,2,2,1,1,2528
622,2,2,37,39,52674
623,2,2,17,16,12509
624,2,1,22,17,30312
625,2,1,7,8,4862
626,3,2,38,35,22311
627,3,2,95,87,88779
628,2,1,3,3,2853
629,3,1,8,9,3363
630,3,1,6,7,7666
631,3,1,23,25,22379
632,3,2,7,4,1310
633,3,1,79,76,68248
634,3,2,55,41,40473
635,3,2,66,61,57954
636,3,2,30,32,34526
637,3,1,35,48,66431
638,3,1,58,54,52167
639,3,1,46,49,60396
640,3,2,69,67,77715
641,3,1,12,11,8596
642,3,2,32,27,36216
643,3,2,25,32,45426
644,3,1,81,90,90120
645,3,1,85,89,86137
646,3,2,2,2,1790
647,3,1,49,54,43472
648,3,2,41,29,43275
649,3,1,93,89,85540
650,3,2,83,80,77736
651,3,1,57,66,80597
652,3,2,75,73,76077
653,3,1,94,92,90095
654,3,2,75,71,92083
655,3,2,49,53,48905
656,3,2,89,88,92993
657,3,2,71,70,87226
658,3,1,-4,-4,-4
659,3,1,46,42,39786
660,3,2,88,91,86131
661,3,2,78,81,78922
662,3,2,51,65,70500
663,3,1,60,68,76234
664,3,2,57,51,47912
665,3,2,49,53,59991
666,3,1,4,5,6845
667,3,1,64,69,70912
668,3,2,13,15,25253
669,3,1,74,74,79232
670,3,2,86,86,89419
671,2,1,77,74,79303
672,2,1,50,53,65315
673,2,1,-4,-4,-4
674,2,1,4,4,2926
675,2,1,2,1,3663
676,2,1,6,4,2250
677,2,2,31,41,47975
678,2,1,15,19,18326
679,2,1,7,8,8563
680,2,2,15,22,25213
681,2,1,2,5,6381
682,2,2,27,30,34737
683,2,2,32,38,45808
684,3,1,22,25,29001
685,3,1,27,45,55366
686,3,1,76,73,79313
687,3,1,80,84,88752
688,3,2,39,35,41580
689,3,2,27,24,35381
690,3,1,62,72,72907
691,3,2,49,46,57216
692,3,2,34,27,36055
693,3,1,-4,-4,-5
694,3,2,-4,-4,-4
695,3,1,-4,-4,-4
696,3,2,-4,-4,-4
697,3,1,18,25,14729
698,3,2,5,5,8986
699,3,2,26,26,18419
700,3,1,17,25,22135
701,3,1,9,12,10566
702,3,1,22,29,31226
703,3,2,51,38,40970
704,3,2,46,52,46092
705,3,1,74,65,63710
706,3,2,22,27,24382
707,3,1,28,31,31469
708,3,2,10,8,11809
709,3,1,28,27,26594
710,3,1,73,76,59843
711,3,1,35,34,38582
712,3,2,93,81,80637
713,3,2,15,15,14274
714,3,1,17,18,26688
715,3,1,20,25,16550
716,3,1,20,16,15840
717,3,1,23,27,30429
718,3,1,76,66,63638
719,3,1,8,9,6818
720,3,2,33,32,36158
721,3,2,18,19,24725
722,3,1,53,48,38013
723,3,2,29,27,26792
724,3,2,71,77,78513
725,3,1,96,96,97319
726,3,2,-4,-4,-4
727,3,1,-4,-4,-4
728,3,1,11,11,20133
729,3,1,81,66,69855
730,3,1,73,58,70604
731,3,1,70,55,46018
732,3,1,57,48,51017
733,3,2,34,18,27489
734,1,2,6,11,9683
735,3,1,22,19,21568
736,3,2,25,19,25168
737,3,1,20,18,19153
738,3,1,53,52,38609
739,3,2,30,35,28461
740,3,2,94,85,91432
741,3,1,43,31,40408
742,3,1,73,80,64450
743,3,2,83,82,80579
744,2,2,3,2,2203
745,2,2,34,35,31508
746,3,2,71,68,65278
747,3,1,50,66,70368
748,3,2,28,30,23929
749,3,1,28,23,16594
750,3,1,18,20,16800
751,3,1,16,22,28746
752,3,2,91,84,80463
753,2,1,26,25,26159
754,2,1,16,22,37591
755,1,2,62,46,54906
756,1,2,16,15,20084
757,2,2,25,27,31118
758,2,2,9,10,11905
759,2,2,12,15,13144
760,2,1,27,28,39320
761,3,2,52,51,55614
762,1,1,41,39,48786
763,1,1,32,33,34180
764,1,2,25,21,31809
765,1,1,39,40,54100
766,3,1,16,8,8099
767,3,1,12,13,9262
768,3,2,75,66,75744
769,3,1,40,44,34236
770,3,2,24,27,31921
771,3,1,-4,-4,-4
772,3,1,54,54,52482
773,3,1,-4,-4,-5
774,3,1,42,48,53534
775,3,2,62,61,66148
776,3,1,96,97,97088
777,3,1,75,75,79850
778,3,1,59,76,89794
779,3,2,38,46,60353
780,3,1,-4,-4,-4
781,3,2,-4,-4,-5
782,1,1,25,22,13182
783,1,2,38,29,36082
784,1,1,32,36,49537
785,3,2,44,35,24305
786,3,1,49,46,35693
787,3,2,22,21,23568
788,3,2,66,57,52352
789,3,2,46,35,42361
790,3,2,21,14,14809
791,3,1,62,64,83138
792,3,2,22,26,28537
